541 21305
397 484 52
24 88 87
203 481 81
97 351 51
55 198 25
382 485 96
148 412 72
258 410 13
20 469 84
262 335 37
92 185 88
69 434 85
262 464 14
85 448 19
170 466 22
69 481 15
216 244 96
69 319 60
317 393 65
79 501 21
369 427 21
162 475 65
25 317 19
49 284 15
192 512 11
407 536 63
290 503 8
300 466 78
7 122 65
124 527 12
1 73 9
100 115 59
357 373 24
303 457 85
191 430 4
474 501 74
211 244 72
99 281 87
331 506 76
19 266 79
52 503 18
11 464 81
114 342 20
21 174 97
349 517 18
119 444 66
371 502 17
3 169 95
12 472 16
8 45 86
119 158 14
348 485 54
209 492 33
173 263 92
468 525 58
278 343 39
391 504 81
148 270 22
44 141 87
133 536 47
147 174 97
207 259 59
226 354 43
369 423 97
339 358 100
70 451 42
218 519 68
93 433 4
112 340 16
75 244 6
200 482 1
197 275 44
327 418 65
229 241 72
109 236 97
281 437 72
231 407 74
202 360 69
67 159 61
49 530 79
65 225 29
42 344 94
308 421 29
452 454 30
339 494 50
108 195 86
227 252 82
39 368 6
305 411 13
42 408 49
45 232 23
108 200 40
161 528 2
39 179 52
414 448 38
32 43 23
65 325 78
216 446 78
23 119 41
271 475 98
189 300 14
2 412 91
169 475 40
245 382 77
182 241 57
90 132 78
334 358 16
412 534 86
497 504 48
1 481 30
94 274 55
207 282 83
26 422 76
56 380 70
330 439 41
148 466 5
260 474 96
289 392 87
295 342 79
126 152 48
12 278 5
134 142 98
135 203 44
70 249 60
64 233 72
330 396 17
477 502 18
157 250 40
503 523 1
434 536 98
191 515 8
84 165 95
340 400 52
207 283 40
86 403 11
157 481 68
144 393 58
354 464 23
100 157 99
185 479 72
321 441 55
26 126 3
65 115 10
416 429 77
329 402 59
451 484 49
141 422 6
430 492 23
25 327 51
30 454 55
311 531 69
267 537 65
209 259 51
60 326 91
348 520 94
188 374 7
128 431 88
48 367 34
168 183 64
410 485 20
9 226 30
157 252 72
159 190 80
35 176 39
128 260 16
224 289 12
281 282 32
133 202 35
303 458 61
343 370 39
42 340 29
49 223 89
93 468 7
37 172 59
181 215 2
95 124 59
369 529 32
87 513 99
357 523 64
533 535 25
171 242 16
255 448 87
23 224 37
79 308 82
163 292 79
175 319 39
24 278 22
34 467 78
81 263 73
89 452 33
258 483 15
173 534 59
297 395 87
198 247 62
494 503 85
49 320 6
260 504 6
140 188 4
114 160 75
89 232 61
490 540 17
160 305 3
308 384 75
18 505 25
438 466 97
137 465 62
263 330 36
234 309 76
258 310 38
39 367 17
9 131 80
76 468 78
157 350 26
321 403 70
183 278 46
290 303 6
206 213 39
26 142 79
111 375 99
91 375 23
368 425 47
426 438 8
168 468 11
482 492 50
40 456 82
280 292 24
18 189 19
295 320 24
209 491 76
45 82 34
13 295 34
369 475 19
435 537 34
290 481 78
345 458 63
68 298 24
60 123 44
240 524 72
66 394 7
153 449 44
438 524 54
41 82 18
317 347 85
28 260 38
206 434 73
113 381 9
202 459 52
125 214 97
76 416 1
186 234 50
39 165 17
125 149 44
289 351 63
94 98 14
308 357 48
355 394 32
263 355 82
113 481 68
210 391 50
239 414 82
206 445 44
98 259 44
366 467 71
107 416 68
371 418 16
53 313 85
57 169 39
99 206 11
76 525 32
486 515 78
247 320 75
67 412 16
115 441 47
189 301 70
231 536 99
292 531 89
2 217 1
22 164 30
199 305 43
251 465 3
296 313 24
152 396 43
21 232 57
30 176 33
184 285 3
337 348 32
183 285 75
6 43 77
248 336 16
20 101 24
294 347 99
181 428 51
5 326 17
335 518 18
42 272 5
242 378 48
22 392 92
118 264 10
192 430 86
2 42 77
177 391 37
132 539 47
69 512 84
19 265 95
77 186 69
27 204 77
16 271 31
217 459 32
337 526 15
339 382 63
413 423 36
12 475 41
109 173 36
254 425 77
38 311 22
115 439 44
364 476 13
335 475 36
136 250 23
10 402 45
70 75 34
226 357 79
100 104 37
462 501 100
471 506 35
122 260 2
367 491 72
289 495 3
251 355 9
73 184 35
19 504 73
55 270 2
366 516 56
37 540 15
356 461 67
398 536 41
5 482 32
471 483 100
339 435 11
181 189 90
111 436 46
35 157 63
397 421 58
48 293 54
283 473 22
125 282 17
76 261 12
311 455 63
90 324 52
147 242 32
237 515 56
52 379 65
208 347 82
246 393 53
94 215 33
254 345 83
88 201 55
208 521 42
273 474 100
347 369 5
221 358 39
181 344 27
409 537 70
130 430 66
27 522 40
66 329 71
170 219 46
145 190 38
393 424 44
15 410 22
38 92 69
16 131 23
11 344 22
129 262 34
56 365 37
152 273 6
203 241 49
496 523 61
342 459 23
146 258 89
120 164 41
257 283 75
196 218 70
46 114 76
69 426 67
184 377 34
309 398 37
291 512 62
4 430 31
127 387 8
459 478 46
364 433 15
34 93 19
229 244 82
368 407 91
133 387 74
5 323 37
348 424 69
84 418 11
42 178 26
87 251 42
217 522 75
333 425 28
117 523 88
526 541 87
200 489 37
180 254 25
47 269 89
322 488 13
38 182 64
57 95 47
15 262 46
106 481 95
34 118 77
166 459 18
89 167 46
130 384 57
463 470 99
498 499 3
214 393 52
438 531 13
201 448 31
124 377 53
85 221 48
309 464 43
343 438 81
61 317 50
389 427 25
393 446 71
153 529 83
73 518 78
113 241 30
20 357 85
389 414 59
8 150 97
104 413 67
231 398 78
308 365 2
261 356 71
170 331 80
58 246 38
290 506 10
32 283 53
19 400 26
253 344 94
244 429 75
66 488 99
26 463 7
305 460 41
57 237 47
151 378 6
124 389 85
103 299 69
328 349 28
15 380 29
203 526 44
260 280 5
94 530 27
303 434 19
217 372 71
112 236 46
63 132 8
35 286 73
80 325 69
435 437 25
130 237 59
344 349 3
45 328 94
90 95 94
58 456 15
224 295 69
237 328 41
224 440 45
57 370 47
190 230 76
61 147 82
23 309 62
70 97 88
209 253 81
342 403 20
195 517 18
214 418 30
145 319 46
18 180 54
60 527 53
142 400 5
324 364 39
14 85 72
222 358 76
234 235 56
307 334 32
301 465 52
299 356 59
281 401 41
78 396 22
99 480 91
125 252 31
51 147 30
185 191 45
5 52 28
99 354 63
156 324 48
209 282 49
53 153 43
142 487 32
216 536 36
345 529 76
301 431 17
248 472 83
406 490 64
40 498 20
331 458 20
73 351 84
259 459 93
46 209 72
90 97 50
73 463 15
130 200 24
78 348 29
95 308 30
215 226 61
466 540 64
138 534 83
242 305 1
66 520 21
283 410 97
211 466 16
66 496 77
242 265 61
445 452 48
238 314 46
36 168 18
108 299 93
34 356 95
329 533 95
387 435 7
211 223 89
172 288 24
22 310 38
83 266 99
35 60 6
136 372 47
166 338 73
46 451 47
77 123 63
260 401 99
392 460 31
50 249 66
172 414 16
205 486 73
195 306 76
60 158 42
314 360 31
158 169 51
55 229 13
215 225 33
417 426 28
17 453 99
159 475 38
43 137 45
109 402 13
45 159 11
53 370 63
73 270 57
128 376 78
415 463 89
134 352 86
441 524 100
273 532 47
121 213 56
66 162 13
2 164 30
501 510 18
79 146 19
263 466 29
157 220 84
256 440 68
77 156 95
410 534 71
7 406 74
197 205 74
52 420 79
283 315 86
29 341 65
385 477 94
393 461 9
213 265 40
376 430 97
186 494 98
267 301 12
61 84 98
188 276 67
52 493 42
195 245 6
5 395 86
14 70 86
26 143 8
13 385 29
6 104 93
40 331 47
26 536 9
47 220 32
223 360 98
133 492 87
30 365 44
195 509 54
119 467 95
344 367 30
192 516 56
66 480 28
25 318 89
185 414 68
90 469 52
55 130 49
398 405 26
405 414 73
88 236 24
354 444 79
71 366 26
205 483 71
264 349 99
23 513 61
346 480 73
177 235 61
18 90 26
423 486 62
277 538 18
75 219 8
134 339 65
109 241 6
25 208 63
82 313 36
381 536 15
154 256 86
149 389 30
228 536 9
289 304 81
178 260 38
175 185 24
3 24 37
119 310 47
63 360 55
92 378 97
194 260 30
333 390 21
364 534 49
210 253 62
165 225 35
109 524 82
44 453 11
130 484 64
138 397 10
88 423 76
234 313 68
337 516 4
91 123 21
252 458 73
62 526 99
9 327 36
193 270 67
242 503 54
157 479 73
155 477 81
175 229 90
237 405 92
42 247 32
232 371 41
234 527 1
14 184 9
212 363 84
280 388 60
93 202 65
30 54 22
186 282 86
118 531 82
91 172 46
267 509 33
198 270 26
379 408 85
151 532 45
113 527 22
111 413 84
396 536 77
336 344 22
69 316 40
125 229 9
75 128 57
201 351 42
360 497 79
137 286 1
406 505 86
168 374 68
42 524 57
45 297 12
233 514 93
232 385 97
338 529 88
141 315 52
294 431 83
241 277 62
493 507 28
270 325 31
327 399 27
442 502 67
19 436 76
25 417 39
457 515 41
63 215 52
100 427 36
381 393 20
155 281 3
96 386 93
2 516 34
172 222 3
103 435 81
258 384 68
96 143 63
60 539 18
65 373 34
446 458 40
202 292 69
188 264 37
70 108 39
157 328 74
155 210 92
404 421 21
22 43 9
97 321 66
116 239 72
360 416 17
43 320 29
160 521 40
86 439 39
250 373 51
177 184 74
72 73 54
281 291 97
63 325 54
483 515 67
36 387 66
168 214 11
410 449 95
258 271 84
37 194 27
17 224 49
345 349 26
106 490 52
2 38 99
125 361 29
175 448 61
98 235 15
22 519 20
167 445 94
19 36 2
235 455 19
135 536 13
77 179 71
406 473 23
129 484 96
46 154 76
97 431 14
13 391 19
218 440 54
119 459 88
194 399 1
395 486 32
45 384 20
187 450 66
335 396 94
117 404 49
186 198 53
101 180 74
61 98 57
61 390 100
58 157 17
71 343 37
442 499 59
389 452 67
425 514 99
90 158 3
302 334 55
321 361 21
239 478 2
293 300 72
169 444 98
155 180 72
136 199 38
274 344 29
253 273 28
100 436 74
449 528 79
51 235 23
59 70 44
438 495 3
95 513 90
106 293 24
135 174 59
28 97 51
9 130 37
313 323 31
144 344 33
151 498 34
110 529 78
169 500 51
35 334 6
49 162 6
211 237 21
125 267 85
30 315 85
84 342 41
12 286 21
122 364 52
164 327 52
216 381 70
15 61 61
290 428 58
215 433 77
16 402 63
165 275 69
368 419 27
206 273 17
344 413 11
208 283 28
215 216 31
39 225 73
78 346 19
228 320 26
220 427 11
52 293 11
100 121 18
476 535 62
22 510 68
184 264 40
206 287 79
226 311 1
99 327 78
30 173 53
179 401 44
338 341 21
283 485 38
97 403 29
9 150 98
9 112 43
202 212 52
180 396 13
283 433 83
323 509 97
73 468 88
43 244 80
249 267 11
184 471 6
518 539 45
126 228 93
127 242 49
92 349 8
180 520 42
78 356 37
307 366 89
257 430 54
82 240 51
216 398 76
281 540 77
86 364 33
112 132 19
391 416 95
33 308 49
254 366 86
336 350 14
13 194 95
369 391 60
114 511 54
195 426 65
248 306 42
116 230 27
236 485 84
69 131 49
19 216 20
377 517 81
40 56 82
207 506 24
406 409 90
459 474 80
424 471 76
196 322 5
50 259 31
166 306 41
424 456 17
3 394 71
155 449 58
87 413 66
62 540 70
207 366 100
300 330 47
15 455 4
129 500 100
323 469 1
512 537 50
218 268 97
166 321 19
273 305 32
70 103 31
5 297 97
304 401 47
425 427 18
317 479 24
116 193 86
148 244 66
33 421 9
367 457 64
261 339 39
208 522 89
102 370 21
184 440 27
372 386 27
270 444 48
282 419 88
357 363 3
164 394 28
339 375 69
97 512 60
244 308 24
327 448 37
447 467 82
40 95 94
359 361 29
371 442 5
296 431 10
32 467 63
304 482 84
55 484 3
311 372 50
56 217 61
204 509 88
336 508 79
236 468 6
113 430 17
189 243 50
298 378 76
52 71 12
240 492 53
196 361 79
10 176 55
172 523 26
32 454 4
159 474 86
231 233 73
75 434 22
33 240 7
91 472 9
42 278 90
24 74 99
385 504 20
141 484 31
49 437 38
233 258 59
344 403 84
163 445 41
101 354 49
502 539 61
407 535 32
345 495 55
133 248 47
123 193 18
87 283 42
386 537 37
65 372 15
468 518 31
271 520 82
62 251 54
37 174 51
193 350 84
46 246 63
115 234 15
211 520 27
297 440 99
42 379 98
233 253 30
128 489 33
389 440 61
85 349 23
17 272 60
468 524 10
70 76 8
144 369 3
28 179 79
227 368 1
58 126 52
62 117 1
151 385 24
279 460 89
130 390 33
204 425 83
128 218 9
354 505 4
34 358 69
211 483 5
72 394 74
427 522 96
58 466 68
403 453 14
60 469 74
123 419 40
321 412 18
40 256 32
140 203 9
37 171 54
1 160 29
91 529 91
403 531 2
53 278 65
95 519 82
204 510 59
12 58 65
136 271 62
97 339 95
301 442 92
360 496 43
63 163 93
90 299 16
6 308 79
102 471 75
20 303 47
74 399 81
5 104 85
120 400 65
42 233 39
49 236 80
96 340 49
421 440 87
363 392 11
70 481 53
329 349 56
72 340 86
7 259 34
368 424 55
16 226 23
268 461 48
292 473 18
172 183 19
6 447 77
47 135 85
26 379 46
262 472 6
209 399 16
104 164 20
369 383 12
345 376 45
189 293 75
318 477 10
97 363 53
132 265 47
433 507 31
255 283 64
25 376 41
61 454 20
177 347 40
119 135 91
278 437 6
291 406 79
330 473 54
156 403 39
253 270 9
186 285 80
507 525 65
313 369 81
295 530 96
216 478 87
277 316 61
189 244 36
173 496 51
139 463 93
16 274 8
339 379 53
417 510 22
302 345 46
219 223 8
130 459 30
66 203 11
158 417 91
45 448 85
140 541 19
50 234 42
377 424 79
32 61 13
15 127 38
16 449 54
316 368 80
462 467 34
43 306 64
262 384 59
112 215 14
51 522 45
381 448 21
142 446 88
90 178 48
132 139 79
388 450 14
150 299 64
290 462 68
7 215 1
295 465 11
282 447 95
164 459 2
243 465 90
366 373 84
248 437 5
188 356 62
140 342 30
172 495 50
38 93 80
96 295 36
448 475 30
46 112 47
150 216 1
286 524 9
375 514 99
134 457 52
99 319 34
300 485 4
79 158 90
161 199 39
214 252 86
71 100 67
436 454 43
166 239 30
169 294 90
22 148 88
495 522 84
114 202 12
140 415 43
456 492 25
301 534 66
166 295 39
123 199 100
67 278 3
172 205 66
503 504 79
92 242 62
190 529 92
48 389 71
149 172 48
152 291 74
119 155 43
190 224 48
389 493 36
43 80 73
65 253 57
137 361 28
347 447 53
327 511 93
31 397 26
363 389 43
39 340 59
425 521 44
212 214 23
86 171 12
11 377 61
345 479 1
57 262 19
35 115 42
93 353 46
232 467 8
200 383 52
54 531 65
95 491 31
28 35 44
45 371 8
208 507 96
17 265 77
56 319 21
148 198 46
391 515 11
180 511 46
161 484 92
80 496 28
143 376 49
59 500 81
57 112 48
45 179 1
33 504 96
113 343 57
39 362 33
96 538 27
155 443 30
4 143 58
106 344 69
66 305 72
387 496 97
194 479 65
76 422 65
93 239 31
20 430 28
105 495 63
317 480 47
78 255 46
250 333 11
119 494 64
328 403 72
143 359 19
137 218 37
466 494 96
164 401 65
241 402 82
186 503 53
116 520 47
300 525 52
21 158 27
2 360 44
314 401 78
409 476 66
11 421 70
171 198 92
255 396 10
347 496 40
237 457 65
250 462 8
531 537 34
35 41 81
373 505 75
507 512 69
34 115 35
171 387 48
147 521 25
149 466 29
12 483 6
284 353 96
229 518 22
231 246 64
418 475 34
64 207 43
229 300 4
403 473 45
1 154 40
101 529 24
279 354 35
524 527 99
25 27 29
92 184 46
184 357 39
99 285 15
250 251 5
107 526 79
68 138 29
62 114 50
448 466 36
123 476 31
57 487 65
151 515 46
199 415 99
46 77 80
233 347 66
417 454 4
16 258 86
100 303 83
107 297 75
226 353 33
229 402 81
324 461 45
306 533 3
289 386 16
230 379 33
72 232 61
49 282 26
66 320 52
127 301 10
75 370 31
162 253 29
174 504 20
19 445 77
79 208 97
26 122 85
33 159 80
19 321 29
206 467 99
97 380 32
194 523 20
5 210 84
176 327 49
276 412 81
79 503 98
354 491 85
87 520 62
13 72 39
101 189 3
211 465 2
124 525 20
356 415 3
144 242 5
84 415 94
155 184 1
516 527 37
89 285 51
207 223 5
83 495 18
113 298 70
383 523 50
146 281 1
181 525 5
390 482 84
41 497 80
178 350 9
348 384 50
495 513 19
212 421 14
470 490 11
456 537 55
138 452 29
1 342 77
424 460 65
161 421 90
54 67 27
3 173 50
326 341 25
199 457 87
66 347 97
149 479 21
210 320 95
127 196 97
30 73 17
233 445 43
157 391 4
160 417 97
331 449 36
66 67 46
95 371 19
444 525 7
202 440 38
227 367 80
311 486 5
26 486 66
67 252 41
263 434 32
38 465 3
202 411 38
168 222 91
114 134 38
54 536 69
363 482 2
343 527 67
360 441 97
336 360 79
223 402 66
209 508 11
92 190 50
343 429 74
137 153 68
179 295 40
176 323 18
109 538 58
120 381 53
148 453 19
110 115 9
70 324 59
161 388 51
120 202 77
151 217 72
284 328 3
400 528 4
51 60 8
50 521 75
184 325 94
160 441 31
254 422 51
306 354 83
139 512 98
208 526 96
356 386 6
336 467 81
243 365 28
5 90 74
148 481 77
13 503 55
456 538 90
114 477 27
181 191 40
296 484 40
321 391 100
85 439 97
289 505 98
16 428 46
260 440 25
486 525 43
63 119 83
332 505 99
251 492 53
102 325 79
140 479 21
117 331 38
100 252 54
381 413 99
98 326 69
63 340 78
103 207 82
130 336 42
141 161 41
433 504 71
115 166 85
103 523 95
105 511 33
132 258 22
77 356 10
272 459 71
5 217 36
81 213 65
276 507 69
129 153 46
450 525 24
14 151 40
205 427 91
105 439 94
10 366 39
240 323 32
98 332 4
277 372 39
202 484 49
250 482 46
234 526 58
22 48 69
71 510 47
60 473 61
99 224 4
340 473 52
275 502 42
94 377 45
204 329 91
218 538 6
371 383 85
483 497 80
269 489 98
125 525 91
130 375 96
92 459 87
236 321 33
103 421 82
182 333 66
334 452 87
283 349 56
475 536 15
90 169 12
89 301 70
445 449 6
124 158 57
349 420 25
298 394 78
46 194 6
16 71 47
184 481 36
53 386 27
365 384 94
197 210 25
86 458 38
161 323 79
432 462 25
142 419 74
144 288 27
61 259 63
41 414 89
170 474 94
315 531 64
42 91 13
210 478 79
79 236 8
151 321 20
125 477 27
397 474 100
58 119 87
355 504 53
15 47 76
174 526 96
87 143 99
29 351 94
237 363 8
17 361 42
43 205 39
136 443 13
39 56 59
75 355 22
266 445 38
28 142 44
300 358 82
58 218 28
270 514 14
78 291 56
367 535 4
365 518 20
40 398 50
340 346 45
148 230 12
86 225 46
392 539 40
162 400 46
357 397 77
2 247 1
127 275 29
415 439 18
39 73 40
251 467 20
49 367 93
384 454 37
11 401 45
169 194 30
118 128 45
106 228 53
1 105 28
126 308 48
132 452 65
349 466 71
292 467 83
91 205 92
178 221 78
40 200 33
162 424 79
93 350 78
155 521 67
134 178 68
91 395 32
116 456 21
203 527 13
85 494 21
103 263 12
414 501 73
291 384 29
317 430 98
270 493 25
232 393 17
91 397 51
133 540 100
74 476 5
152 289 60
478 536 35
423 487 65
343 508 24
183 192 93
73 218 34
127 206 69
185 342 75
99 382 93
218 272 87
76 469 67
91 222 45
72 371 82
135 534 97
8 428 91
129 528 67
162 382 52
35 191 9
258 260 19
302 501 29
510 524 94
330 383 38
7 213 73
56 143 71
186 524 8
70 492 85
120 218 65
83 308 32
182 301 46
303 415 74
167 504 12
183 409 47
121 513 26
171 415 24
16 453 48
82 428 35
275 518 79
76 274 37
200 455 63
372 433 5
227 313 87
135 490 86
54 271 24
168 530 3
132 203 25
457 507 21
151 248 69
21 466 48
395 464 41
176 534 98
46 190 100
82 302 21
6 381 41
236 443 96
82 386 44
36 527 57
100 236 48
46 314 48
117 197 35
214 260 70
27 526 7
130 415 3
2 52 40
153 493 9
334 404 66
85 522 30
55 240 25
67 493 32
108 538 90
296 459 56
8 496 100
40 194 68
45 365 27
127 527 24
54 97 48
2 490 15
96 330 14
465 514 5
170 485 23
256 504 8
83 242 30
147 342 84
421 529 84
259 482 80
258 315 4
177 516 79
50 280 28
58 530 42
57 124 81
174 386 94
229 351 23
159 515 16
136 390 17
129 407 75
238 342 54
137 356 47
315 341 80
280 391 100
121 362 84
372 540 17
94 235 46
503 526 2
2 137 51
81 469 26
355 362 41
109 468 5
311 328 42
389 508 66
119 183 36
85 263 1
144 329 31
40 328 56
262 295 72
71 454 53
43 232 77
32 235 34
339 474 69
51 277 64
118 319 81
329 463 98
302 328 68
47 363 75
153 465 79
145 453 85
53 333 48
202 259 67
150 522 4
363 484 11
22 257 23
424 446 45
228 237 71
2 398 57
151 339 12
219 412 67
386 505 79
442 498 40
165 247 8
358 428 22
10 410 61
155 491 40
392 447 16
231 453 20
36 139 44
22 525 34
373 437 7
468 492 2
406 492 95
86 525 76
431 528 91
249 277 77
86 504 52
1 132 25
146 489 51
45 283 71
156 330 33
168 367 53
56 339 92
180 532 85
317 373 100
368 381 75
333 382 47
147 363 25
414 475 28
71 484 75
103 457 19
194 294 63
67 73 96
3 285 41
22 538 41
91 493 42
181 453 85
245 426 46
8 202 49
54 500 58
130 401 7
178 266 16
213 429 8
469 476 11
231 308 12
39 96 90
154 411 1
74 99 80
288 441 15
206 256 28
33 327 87
204 423 95
100 291 76
30 129 2
319 323 99
251 515 17
225 277 39
120 370 16
116 184 88
69 451 95
66 266 14
482 491 22
446 508 99
284 532 70
77 318 81
46 103 30
214 386 29
21 91 15
30 502 7
367 468 15
222 300 36
420 445 47
460 507 37
351 374 61
103 350 96
79 94 44
136 509 43
265 402 5
413 439 96
18 206 93
207 486 14
178 222 74
528 530 96
25 185 71
160 323 85
51 321 29
192 244 87
143 157 97
118 361 86
233 477 79
72 126 10
347 358 39
237 313 68
143 386 6
416 501 72
433 512 33
122 221 80
6 9 38
125 429 8
156 375 55
313 333 41
53 523 95
13 297 53
66 357 65
156 536 51
213 214 82
68 171 39
138 152 93
287 417 52
57 254 31
47 359 66
376 414 62
110 535 12
242 408 29
434 455 89
415 511 21
198 526 13
165 213 75
217 371 3
337 412 74
78 131 1
362 416 3
127 203 20
415 536 50
310 381 17
106 289 35
233 343 71
73 331 65
105 397 77
57 515 10
138 410 55
7 310 27
187 485 17
152 276 42
458 506 12
50 91 25
124 290 13
286 506 17
146 536 21
87 227 76
91 161 93
394 534 6
115 169 94
241 478 22
307 499 49
48 373 4
175 251 38
77 339 2
65 163 21
36 424 32
158 435 8
427 460 91
227 461 50
29 466 57
130 462 12
19 279 26
319 336 50
182 202 29
324 443 37
248 462 34
104 181 30
123 362 11
80 101 74
116 144 25
194 410 28
134 536 61
48 454 19
382 403 23
309 392 73
92 338 6
301 430 63
212 218 76
84 472 51
438 494 31
124 417 98
17 397 8
223 270 62
233 344 96
137 233 6
5 81 41
380 412 48
51 339 2
330 480 80
71 85 37
307 470 46
100 305 8
364 376 55
114 344 19
468 489 27
177 191 52
117 293 50
41 419 81
363 462 31
314 343 49
89 113 48
340 423 1
169 188 27
115 300 82
101 243 97
334 504 62
270 407 21
255 309 23
55 131 32
426 440 38
36 323 63
8 251 33
316 422 33
151 418 53
260 372 45
225 534 14
316 395 9
425 492 82
117 282 81
58 103 76
212 261 41
179 261 62
53 65 24
86 375 18
294 384 69
204 223 83
333 409 61
129 236 22
295 450 93
175 528 42
77 247 21
27 309 93
277 424 29
266 317 69
331 410 36
280 360 34
50 217 66
280 366 61
149 445 98
152 498 64
59 234 36
423 505 51
320 402 12
376 420 27
223 494 80
69 378 81
159 400 79
219 513 77
60 257 78
331 522 35
264 503 58
91 106 87
194 517 22
82 445 25
123 375 18
51 376 91
48 324 12
95 182 10
108 446 71
50 216 94
247 385 18
99 208 53
92 206 74
250 335 62
162 308 47
130 493 30
409 448 43
300 457 58
313 516 79
182 219 55
27 210 79
364 415 55
327 368 76
285 517 66
140 145 13
285 443 76
322 352 6
45 397 19
166 271 15
473 531 35
51 528 76
100 127 80
153 423 71
56 65 97
311 461 96
297 343 31
79 263 29
65 207 92
188 502 65
323 404 57
4 237 62
357 385 61
167 291 64
415 499 39
197 488 25
178 529 89
60 141 74
227 473 10
102 507 47
227 339 50
103 286 38
109 188 97
161 481 72
243 408 66
410 480 6
6 122 88
182 525 2
210 372 61
195 202 72
183 246 48
206 232 13
462 465 96
191 532 16
138 488 22
252 292 38
279 366 31
2 36 32
193 371 97
3 133 36
115 306 75
117 207 39
131 194 6
371 489 11
130 304 8
86 346 8
267 349 84
114 187 72
452 473 26
108 270 94
43 66 45
144 241 13
394 468 78
25 296 42
63 322 15
455 515 4
20 22 4
222 373 21
44 367 45
32 81 52
229 475 73
336 485 41
227 404 38
33 207 29
274 457 88
526 532 99
68 416 7
24 470 35
326 493 15
110 150 45
116 286 95
219 261 32
105 536 82
290 452 60
428 455 68
153 243 84
73 376 44
107 187 76
92 171 17
162 165 59
169 289 55
34 159 1
83 396 32
395 530 59
6 127 23
127 177 26
126 375 75
227 349 25
186 298 16
378 402 38
11 420 98
163 388 31
439 531 62
493 509 81
227 452 5
61 109 65
267 386 55
336 453 70
217 440 88
295 491 47
138 216 65
358 472 77
119 401 17
177 210 71
104 130 98
153 192 12
9 285 79
138 529 13
93 335 14
35 388 60
7 414 39
114 493 56
417 474 66
40 82 79
193 414 64
197 331 1
51 122 53
278 419 82
67 204 65
249 346 81
11 16 73
389 537 30
95 240 39
180 527 29
431 445 37
238 475 77
189 471 6
110 435 96
291 537 90
74 141 96
68 277 91
153 462 90
47 347 92
260 533 92
461 531 49
112 128 61
139 331 92
356 524 11
60 389 19
121 257 57
53 458 58
157 392 3
110 178 90
199 414 57
310 379 74
78 214 88
97 347 49
106 157 9
263 277 1
313 349 100
165 319 23
306 342 53
103 235 63
277 457 13
210 442 50
228 505 3
402 472 1
186 415 87
213 302 20
33 472 47
102 125 79
364 371 37
450 458 51
164 330 96
269 358 96
48 346 38
269 475 18
